id,name,category,sector,constituent_gases
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.7918, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.4991, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.0104, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.045, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.461, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.2649, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.2071, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.5349, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.5743, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.2948, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 2.5648, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.2287, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.2681, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.3896, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 3.1242, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6215, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.2222, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.4239, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.4121, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.8075, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6987, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.3608, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.1021, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
consumer_goods-type_clothing_primary_material_production,Clothing (Primary material production),Clothing and Footwear,Consumer Goods and Services,"{'co2e_total': 22310.0, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
metals-type_primary_material_production,Metals (Primary material production),Metals,Materials and Manufacturing,"{'co2e_total': 3975.823373, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
